# lemma	kind	batch	topic	gloss	note  — the plain-text seed `vocab.py init` reads; regenerate with `vocab.py export`
abwaschen	target	1	In der Wohnung & Zuhause	to wash up (dishes)
ausmachen	target	1	In der Wohnung & Zuhause	to turn off
außen	target	1	In der Wohnung & Zuhause	outside, on the outside
baden	target	1	In der Wohnung & Zuhause	to bathe, have a bath
bauen	target	1	In der Wohnung & Zuhause	to build
besetzen	target	1	In der Wohnung & Zuhause	to occupy
das Apartment	target	1	In der Wohnung & Zuhause	apartment, flat
das Bad	target	1	In der Wohnung & Zuhause	bath; bathroom
das Bett	target	1	In der Wohnung & Zuhause	bed
das Blatt	target	1	In der Wohnung & Zuhause	sheet (of paper); leaf
das Brot	target	1	In der Wohnung & Zuhause	bread
das Dach	target	1	In der Wohnung & Zuhause	roof
das Eck	target	1	In der Wohnung & Zuhause	corner (Austrian variant)
das Fenster	target	1	In der Wohnung & Zuhause	window
das Geschirr	target	1	In der Wohnung & Zuhause	dishes, crockery
das Glas	target	1	In der Wohnung & Zuhause	glass
das Haus	target	1	In der Wohnung & Zuhause	house
das Heft	target	1	In der Wohnung & Zuhause	notebook, exercise book
das Heim	target	1	In der Wohnung & Zuhause	home; institution/hostel
das Kissen	target	1	In der Wohnung & Zuhause	cushion, pillow
das Lager	target	1	In der Wohnung & Zuhause	storeroom, warehouse; camp
das Licht	target	1	In der Wohnung & Zuhause	light
das Messer	target	1	In der Wohnung & Zuhause	knife
das Möbel	target	1	In der Wohnung & Zuhause	piece of furniture
das Papier	target	1	In der Wohnung & Zuhause	paper
das Regal	target	1	In der Wohnung & Zuhause	shelf, shelving
das Schild	target	1	In der Wohnung & Zuhause	sign
das Schloss	target	1	In der Wohnung & Zuhause	lock; castle
das Sofa	target	1	In der Wohnung & Zuhause	sofa
das Stiegenhaus	target	1	In der Wohnung & Zuhause	stairwell (A)
das Stockwerk	target	1	In der Wohnung & Zuhause	floor, storey
das Streichholz	target	1	In der Wohnung & Zuhause	match
das Tor	target	1	In der Wohnung & Zuhause	gate
das Treppenhaus	target	1	In der Wohnung & Zuhause	stairwell
das Tuch	target	1	In der Wohnung & Zuhause	cloth, towel
das Waschmittel	target	1	In der Wohnung & Zuhause	detergent
das Wasser	target	1	In der Wohnung & Zuhause	water
das Wohnzimmer	target	1	In der Wohnung & Zuhause	living room
das Zentrum	target	1	In der Wohnung & Zuhause	centre
das Zimmer	target	1	In der Wohnung & Zuhause	room
das Zuhause	target	1	In der Wohnung & Zuhause	home
der Abfall	target	1	In der Wohnung & Zuhause	rubbish, waste
der Abfalleimer	target	1	In der Wohnung & Zuhause	rubbish bin
der Abwart / die Abwartin	target	1	In der Wohnung & Zuhause	caretaker, janitor (CH)
der Aufzug	target	1	In der Wohnung & Zuhause	lift, elevator
der Balkon	target	1	In der Wohnung & Zuhause	balcony
der Bau	target	1	In der Wohnung & Zuhause	construction, building work
der Boden	target	1	In der Wohnung & Zuhause	floor; ground
der Eingang	target	1	In der Wohnung & Zuhause	entrance
der Fauteuil	target	1	In der Wohnung & Zuhause	armchair (A/CH)
der Flur	target	1	In der Wohnung & Zuhause	hallway, corridor
der Garten	target	1	In der Wohnung & Zuhause	garden
der Hammer	target	1	In der Wohnung & Zuhause	hammer
der Haushalt	target	1	In der Wohnung & Zuhause	household
der Hausmeister / die Hausmeisterin	target	1	In der Wohnung & Zuhause	caretaker, janitor
der Herd	target	1	In der Wohnung & Zuhause	stove, cooker
der Keller	target	1	In der Wohnung & Zuhause	cellar, basement
der Korridor	target	1	In der Wohnung & Zuhause	corridor
der Kugelschreiber	target	1	In der Wohnung & Zuhause	ballpoint pen
der Kuli	target	1	In der Wohnung & Zuhause	biro, pen (colloq. = Kugelschreiber)
der Kühlschrank	target	1	In der Wohnung & Zuhause	fridge
der Löffel	target	1	In der Wohnung & Zuhause	spoon
der Müll	target	1	In der Wohnung & Zuhause	rubbish, garbage
der Nagel	target	1	In der Wohnung & Zuhause	nail
der Ordner	target	1	In der Wohnung & Zuhause	file, ring binder
der Platz	target	1	In der Wohnung & Zuhause	space; place, square
der Rand	target	1	In der Wohnung & Zuhause	edge, rim, border
der Raum	target	1	In der Wohnung & Zuhause	room, space
der Sack	target	1	In der Wohnung & Zuhause	sack, bag
der Schirm	target	1	In der Wohnung & Zuhause	umbrella
der Schlaf	target	1	In der Wohnung & Zuhause	sleep
der Schlüssel	target	1	In der Wohnung & Zuhause	key
